Flight Number: AI101 | Airline: Air India | Aircraft Type: Boeing 747 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Delhi | Arrival Airport: DEL | Seat Capacity: 400 | Departure Time: 09:00 AM | Arrival Time: 11:30 AM
Flight Number: SG1212 | Airline: SpiceJet | Aircraft Type: Boeing 737 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Bangalore | Arrival Airport: BLR | Seat Capacity: 170 | Departure Time: 11:30 AM | Arrival Time: 02:15 PM
Flight Number: 9W1313 | Airline: Jet Airways | Aircraft Type: Boeing 777 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Hyderabad | Arrival Airport: HYD | Seat Capacity: 250 | Departure Time: 02:15 PM | Arrival Time: 04:30 PM
Flight Number: AI1414 | Airline: Air India | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Chennai | Arrival Airport: MAA | Seat Capacity: 160 | Departure Time: 06:30 PM | Arrival Time: 09:00 PM
Flight Number: 6E1515 | Airline: IndiGo | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Coimbatore | Arrival Airport: CJB | Seat Capacity: 180 | Departure Time: 09:45 AM | Arrival Time: 12:15 PM
Flight Number: SG1616 | Airline: SpiceJet | Aircraft Type: Boeing 737 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Goa | Arrival Airport: GOI | Seat Capacity: 170 | Departure Time: 01:00 PM | Arrival Time: 02:45 PM
Flight Number: 9W1717 | Airline: Jet Airways | Aircraft Type: Boeing 777 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Kolkata | Arrival Airport: CCU | Seat Capacity: 250 | Departure Time: 04:15 PM | Arrival Time: 06:45 PM
Flight Number: AI1818 | Airline: Air India | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Kochi | Arrival Airport: COK | Seat Capacity: 160 | Departure Time: 06:30 AM | Arrival Time: 09:00 AM
Flight Number: 6E1919 | Airline: IndiGo | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Jaipur | Arrival Airport: JAI | Seat Capacity: 180 | Departure Time: 10:45 AM | Arrival Time: 01:15 PM
Flight Number: SG2020 | Airline: SpiceJet | Aircraft Type: Boeing 737 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Bangalore | Arrival Airport: BLR | Seat Capacity: 170 | Departure Time: 03:00 PM | Arrival Time: 05:45 PM
Flight Number: 9W2121 | Airline: Jet Airways | Aircraft Type: Boeing 777 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Hyderabad | Arrival Airport: HYD | Seat Capacity: 250 | Departure Time: 05:15 PM | Arrival Time: 07:30 PM
Flight Number: AI2222 | Airline: Air India | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Chennai | Arrival Airport: MAA | Seat Capacity: 160 | Departure Time: 10:30 AM | Arrival Time: 01:00 PM
Flight Number: 6E2323 | Airline: IndiGo | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Coimbatore | Arrival Airport: CJB | Seat Capacity: 180 | Departure Time: 02:45 PM | Arrival Time: 05:15 PM
Flight Number: SG2424 | Airline: SpiceJet | Aircraft Type: Boeing 737 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Goa | Arrival Airport: GOI | Seat Capacity: 170 | Departure Time: 05:00 PM | Arrival Time: 06:45 PM
Flight Number: 9W2525 | Airline: Jet Airways | Aircraft Type: Boeing 777 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Kolkata | Arrival Airport: CCU | Seat Capacity: 250 | Departure Time: 07:15 PM | Arrival Time: 09:45 PM
Flight Number: AI2626 | Airline: Air India | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Kochi | Arrival Airport: COK | Seat Capacity: 160 | Departure Time: 08:30 AM | Arrival Time: 11:00 AM
Flight Number: 6E2727 | Airline: IndiGo | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Jaipur | Arrival Airport: JAI | Seat Capacity: 180 | Departure Time: 11:45 AM | Arrival Time: 02:15 PM
Flight Number: SG2828 | Airline: SpiceJet | Aircraft Type: Boeing 737 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Bangalore | Arrival Airport: BLR | Seat Capacity: 170 | Departure Time: 02:30 PM | Arrival Time: 05:15 PM
Flight Number: 9W2929 | Airline: Jet Airways | Aircraft Type: Boeing 777 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Hyderabad | Arrival Airport: HYD | Seat Capacity: 250 | Departure Time: 05:45 PM | Arrival Time: 08:00 PM
Flight Number: AI3030 | Airline: Air India | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Chennai | Arrival Airport: MAA | Seat Capacity: 160 | Departure Time: 08:00 AM | Arrival Time: 10:30 AM
Flight Number: 6E3131 | Airline: IndiGo | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Coimbatore | Arrival Airport: CJB | Seat Capacity: 180 | Departure Time: 12:15 PM | Arrival Time: 02:45 PM
Flight Number: SG3232 | Airline: SpiceJet | Aircraft Type: Boeing 737 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Goa | Arrival Airport: GOI | Seat Capacity: 170 | Departure Time: 03:30 PM | Arrival Time: 05:15 PM
Flight Number: 9W3333 | Airline: Jet Airways | Aircraft Type: Boeing 777 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Kolkata | Arrival Airport: CCU | Seat Capacity: 250 | Departure Time: 06:45 PM | Arrival Time: 09:15 PM
Flight Number: AI3434 | Airline: Air India | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Kochi | Arrival Airport: COK | Seat Capacity: 160 | Departure Time: 09:30 AM | Arrival Time: 12:00 PM
Flight Number: 6E3535 | Airline: IndiGo | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Jaipur | Arrival Airport: JAI | Seat Capacity: 180 | Departure Time: 12:45 PM | Arrival Time: 03:15 PM
Flight Number: SG3636 | Airline: SpiceJet | Aircraft Type: Boeing 737 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Bangalore | Arrival Airport: BLR | Seat Capacity: 170 | Departure Time: 04:00 PM | Arrival Time: 06:45 PM
Flight Number: 9W3737 | Airline: Jet Airways | Aircraft Type: Boeing 777 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Hyderabad | Arrival Airport: HYD | Seat Capacity: 250 | Departure Time: 07:15 PM | Arrival Time: 09:30 PM
Flight Number: AI3838 | Airline: Air India | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Chennai | Arrival Airport: MAA | Seat Capacity: 160 | Departure Time: 08:30 AM | Arrival Time: 11:00 AM
Flight Number: 6E3939 | Airline: IndiGo | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Coimbatore | Arrival Airport: CJB | Seat Capacity: 180 | Departure Time: 11:45 AM | Arrival Time: 02:15 PM
Flight Number: SG4040 | Airline: SpiceJet | Aircraft Type: Boeing 737 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Goa | Arrival Airport: GOI | Seat Capacity: 170 | Departure Time: 02:30 PM | Arrival Time: 04:15 PM
Flight Number: 9W4141 | Airline: Jet Airways | Aircraft Type: Boeing 777 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Kolkata | Arrival Airport: CCU | Seat Capacity: 250 | Departure Time: 05:45 PM | Arrival Time: 08:15 PM
Flight Number: AI4242 | Airline: Air India | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Kochi | Arrival Airport: COK | Seat Capacity: 160 | Departure Time: 08:00 AM | Arrival Time: 10:30 AM
Flight Number: 6E4343 | Airline: IndiGo | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Jaipur | Arrival Airport: JAI | Seat Capacity: 180 | Departure Time: 11:15 AM | Arrival Time: 01:45 PM
Flight Number: SG4444 | Airline: SpiceJet | Aircraft Type: Boeing 737 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Bangalore | Arrival Airport: BLR | Seat Capacity: 170 | Departure Time: 01:30 PM | Arrival Time: 04:15 PM
Flight Number: 9W4545 | Airline: Jet Airways | Aircraft Type: Boeing 777 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Hyderabad | Arrival Airport: HYD | Seat Capacity: 250 | Departure Time: 04:45 PM | Arrival Time: 07:00 PM
Flight Number: AI4646 | Airline: Air India | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Chennai | Arrival Airport: MAA | Seat Capacity: 160 | Departure Time: 07:00 AM | Arrival Time: 09:30 AM
Flight Number: 6E4747 | Airline: IndiGo | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Coimbatore | Arrival Airport: CJB | Seat Capacity: 180 | Departure Time: 10:15 AM | Arrival Time: 12:45 PM
Flight Number: SG4848 | Airline: SpiceJet | Aircraft Type: Boeing 737 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Goa | Arrival Airport: GOI | Seat Capacity: 170 | Departure Time: 01:30 PM | Arrival Time: 03:15 PM
Flight Number: 9W4949 | Airline: Jet Airways | Aircraft Type: Boeing 777 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Kolkata | Arrival Airport: CCU | Seat Capacity: 250 | Departure Time: 04:45 PM | Arrival Time: 07:15 PM
Flight Number: AI5050 | Airline: Air India | Aircraft Type: Airbus A320 | Departure City: Mumbai | Departure Airport: BOM | Arrival City: Kochi | Arrival Airport: COK | Seat Capacity: 160 | Departure Time: 08:00 AM | Arrival Time: 10:30 AM
Flight Number: 6E5151 | Airline: IndiGo | Aircraft Type: Airbus A320 | Departure City: Kolkata | Departure Airport: CCU | Arrival City: Delhi | Arrival Airport: DEL | Seat Capacity: 180 | Departure Time: 09:30 AM | Arrival Time: 11:45 AM
Flight Number: SG5252 | Airline: SpiceJet | Aircraft Type: Boeing 737 | Departure City: Kolkata | Departure Airport: CCU | Arrival City: Bangalore | Arrival Airport: BLR | Seat Capacity: 170 | Departure Time: 12:15 PM | Arrival Time: 03:00 PM
Flight Number: 9W5353 | Airline: Jet Airways | Aircraft Type: Boeing 777 | Departure City: Kolkata | Departure Airport: CCU | Arrival City: Hyderabad | Arrival Airport: HYD | Seat Capacity: 250 | Departure Time: 03:45 PM | Arrival Time: 06:00 PM
Flight Number: AI5454 | Airline: Air India | Aircraft Type: Airbus A320 | Departure City: Kolkata | Departure Airport: CCU | Arrival City: Chennai | Arrival Airport: MAA | Seat Capacity: 160 | Departure Time: 07:00 AM | Arrival Time: 09:30 AM
Flight Number: 6E5555 | Airline: IndiGo | Aircraft Type: Airbus A320 | Departure City: Kolkata | Departure Airport: CCU | Arrival City: Coimbatore | Arrival Airport: CJB | Seat Capacity: 180 | Departure Time: 10:45 AM | Arrival Time: 01:15 PM
Flight Number: SG5656 | Airline: SpiceJet | Aircraft Type: Boeing 737 | Departure City: Kolkata | Departure Airport: CCU | Arrival City: Goa | Arrival Airport: GOI | Seat Capacity: 170 | Departure Time: 01:30 PM | Arrival Time: 03:15 PM
Flight Number: 9W5757 | Airline: Jet Airways | Aircraft Type: Boeing 777 | Departure City: Kolkata | Departure Airport: CCU | Arrival City: Mumbai | Arrival Airport: BOM | Seat Capacity: 250 | Departure Time: 04:45 PM | Arrival Time: 07:15 PM
Flight Number: AI5858 | Airline: Air India | Aircraft Type: Airbus A320 | Departure City: Kolkata | Departure Airport: CCU | Arrival City: Kochi | Arrival Airport: COK | Seat Capacity: 160 | Departure Time: 08:00 AM | Arrival Time: 10:30 AM
Flight Number: 6E5959 | Airline: IndiGo | Aircraft Type: Airbus A320 | Departure City: Kolkata | Departure Airport: CCU | Arrival City: Jaipur | Arrival Airport: JAI | Seat Capacity: 180 | Departure Time: 11:45 AM | Arrival Time: 02:15 PM
Flight Number: SG6060 | Airline: SpiceJet | Aircraft Type: Boeing 737 | Departure City: Kolkata | Departure Airport: CCU | Arrival City: Bangalore | Arrival Airport: BLR | Seat Capacity: 170 | Departure Time: 02:30 PM | Arrival Time: 05:15 PM
